IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
90;Mulheres;2020;BR;Brasil;0,20302;4,92554;1;22.614;22.614;111.387; -   ;111.387;4,93
0;Homens;2020;BR;Brasil;0,01249;0,07801;0,01235;100.000;1.235;98.861;0,98704;7.118.517;71,19
1;Homens;2020;BR;Brasil;0,00043;1,61577;0,00171;98.765;169;394.656;0,99838;7.019.656;71,07
5;Homens;2020;BR;Brasil;0,00021;2,42966;0,00103;98.596;102;492.717;0,99885;6.625.000;67,19
10;Homens;2020;BR;Brasil;0,00031;2,93461;0,00156;98.494;154;492.153;0,99567;6.132.283;62,26
15;Homens;2020;BR;Brasil;0,00167;2,94301;0,00831;98.340;817;490.022;0,98873;5.640.130;57,35
20;Homens;2020;BR;Brasil;0,00266;2,58175;0,01322;97.524;1.289;484.501;0,98688;5.150.108;52,81
25;Homens;2020;BR;Brasil;0,00253;2,50058;0,01259;96.235;1.212;478.144;0,98703;4.665.607;48,48
30;Homens;2020;BR;Brasil;0,00274;2,54388;0,01359;95.023;1.291;471.942;0,98538;4.187.463;44,07
35;Homens;2020;BR;Brasil;0,00322;2,58277;0,01596;93.731;1.495;465.042;0,98186;3.715.521;39,64
40;Homens;2020;BR;Brasil;0,0042;2,61699;0,02081;92.236;1.919;456.606;0,97545;3.250.479;35,24
45;Homens;2020;BR;Brasil;0,00588;2,63819;0,029;90.316;2.619;445.396;0,96478;2.793.873;30,93
50;Homens;2020;BR;Brasil;0,00865;2,6398;0,04241;87.697;3.719;429.709;0,94899;2.348.477;26,78
55;Homens;2020;BR;Brasil;0,01254;2,63414;0,06091;83.978;5.115;407.790;0,92591;1.918.767;22,85
60;Homens;2020;BR;Brasil;0,01868;2,62675;0,08943;78.863;7.053;377.578;0,89136;1.510.978;19,16
65;Homens;2020;BR;Brasil;0,02778;2,59439;0,13021;71.810;9.350;336.558;0,8482;1.133.400;15,78
70;Homens;2020;BR;Brasil;0,0388;2,57731;0,17731;62.460;11.075;285.468;0,78601;796.842;12,76
75;Homens;2020;BR;Brasil;0,05935;2,55624;0,25917;51.385;13.317;224.380;0,68945;511.373;9,95
80;Homens;2020;BR;Brasil;0,092;2,4959;0,37386;38.068;14.232;154.700;0,55834;286.993;7,54
85;Homens;2020;BR;Brasil;0,14603;2,39933;0,52917;23.836;12.613;86.375;0,34709;132.294;5,55
