Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;Covid;Female;40;0;306,004402;1576463,34;1594121,693;0;0,000191958
AR;2019/2020;Neoplasms;Female;40;1033,841275;1030,759829;1576463,34;1594121,693;0,000655798;0,0006466
AR;2019/2020;Circulatory;Female;40;365,9151545;345,8681594;1576463,34;1594121,693;0,000232111;0,000216965
AR;2019/2020;Respiratory;Female;40;205,0749976;196,365628;1576463,34;1594121,693;0,000130085;0,000123181
AR;2019/2020;Pregnancy;Female;40;13;26;1576463,34;1594121,693;8,24631E-06;1,63099E-05
AR;2019/2020;External_causes;Female;40;222,0525869;156,5404556;1576463,34;1594121,693;0,000140855;9,81986E-05
AR;2019/2020;Undefined ;Female;40;98,34188034;126,4693754;1576463,34;1594121,693;6,23813E-05;7,93348E-05
AR;2019/2020;All_other_causes;Female;40;363,1348017;330,8595193;1576463,34;1594121,693;0,000230348;0,00020755
AR;2019/2020;All_causes;Female;40;2436,101028;2657,798143;1576463,34;1594121,693;0,001545295;0,001667249
AR;2019/2020;Infec_parasit;Female;45;173,9558011;159,9941361;1425446,288;1438686,17;0,000122036;0,000111209
AR;2019/2020;Covid;Female;45;0;432,2438417;1425446,288;1438686,17;0;0,000300443
AR;2019/2020;Neoplasms;Female;45;1300,088057;1326,123757;1425446,288;1438686,17;0,000912057;0,00092176
AR;2019/2020;Circulatory;Female;45;516,7043666;521,8185312;1425446,288;1438686,17;0,000362486;0,000362705
AR;2019/2020;Respiratory;Female;45;264,3859038;269,8768632;1425446,288;1438686,17;0,000185476;0,000187586
AR;2019/2020;Pregnancy;Female;45;1;3;1425446,288;1438686,17;7,01535E-07;2,08524E-06
AR;2019/2020;External_causes;Female;45;196,8193384;145,3589945;1425446,288;1438686,17;0,000138076;0,000101036
AR;2019/2020;Undefined ;Female;45;149,5197977;146,5438794;1425446,288;1438686,17;0,000104893;0,00010186
AR;2019/2020;All_other_causes;Female;45;463,7578564;489,8131795;1425446,288;1438686,17;0,000325342;0,000340459
AR;2019/2020;All_causes;Female;45;3066,231121;3494,773182;1425446,288;1438686,17;0,002151067;0,002429142
AR;2019/2020;Infec_parasit;Female;50;197,0828729;202,1555882;1215984,229;1222554,587;0,000162077;0,000165355
AR;2019/2020;Covid;Female;50;0;649,3756781;1215984,229;1222554,587;0;0,000531163
AR;2019/2020;Neoplasms;Female;50;1761,247576;1658,659335;1215984,229;1222554,587;0,001448413;0,001356716
AR;2019/2020;Circulatory;Female;50;770,0302428;727,9318239;1215984,229;1222554,587;0,000633257;0,000595419
